"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-01","2023","01","01","","4.2","","2.2","","3.2","","14.8","","0.0","","2.8","","0.0","T","2.8","","","","26","","38",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-02","2023","01","02","","5.1","","1.9","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","30","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-03","2023","01","03","","4.0","","0.4","","2.2","","15.8","","0.0","","4.0","","0.0","","4.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-04","2023","01","04","","3.7","","2.1","","2.9","","15.1","","0.0","","20.8","","0.0","","20.8","","","","7","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-05","2023","01","05","","4.2","","2.3","","3.3","","14.7","","0.0","","1.2","","0.0","","1.2","","","","22","","34",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-06","2023","01","06","","4.2","","1.5","","2.9","","15.1","","0.0","","0.2","","0.0","","0.2","","","","27","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-07","2023","01","07","","2.1","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","","","34","","36",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-08","2023","01","08","","-2.2","","-5.9","","-4.1","","22.1","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-09","2023","01","09","","1.2","","-2.8","","-0.8","","18.8","","0.0","","0.0","T","0.0","","0.0","T","","","28","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-10","2023","01","10","","0.8","","-2.4","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-11","2023","01","11","","1.4","","-5.1","","-1.9","","19.9","","0.0","","0.0","","0.2","","0.2","","","","9","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-12","2023","01","12","","3.6","","-0.5","","1.6","","16.4","","0.0","","3.4","","2.8","","6.2","","1","E","36","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-13","2023","01","13","","-0.5","","-9.4","","-5.0","","23.0","","0.0","","0.0","","4.6","","4.6","","6","","35","","60",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-14","2023","01","14","","-3.2","","-10.6","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","6","","33","","38",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-15","2023","01","15","","-1.4","","-11.0","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","2","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-16","2023","01","16","","1.8","","-7.4","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","1","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-17","2023","01","17","","4.4","","0.2","","2.3","","15.7","","0.0","","3.6","","0.2","","3.8","","0","T","28","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-18","2023","01","18","","4.9","","1.4","","3.2","","14.8","","0.0","","0.2","","0.0","","0.2","","","","28","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-19","2023","01","19","","3.3","","1.0","","2.2","","15.8","","0.0","","3.0","","0.2","","3.2","","","","10","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-20","2023","01","20","","2.6","","-1.5","","0.6","","17.4","","0.0","","1.4","","0.0","T","1.4","","","","30","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-21","2023","01","21","","0.2","","-2.0","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","","","22","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-22","2023","01","22","","1.3","","-2.8","","-0.8","","18.8","","0.0","","0.0","","2.8","","2.8","","2","E","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-23","2023","01","23","","2.0","","-3.2","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","2","","24","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-24","2023","01","24","","3.2","","-2.2","","0.5","","17.5","","0.0","","0.0","","0.2","","0.2","","0","T","26","","51",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-25","2023","01","25","","1.4","","-2.1","","-0.4","","18.4","","0.0","","1.2","","13.8","","15.0","","0","T","11","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-26","2023","01","26","","1.4","","-3.8","","-1.2","","19.2","","0.0","","0.0","","1.2","","1.2","","9","","27","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-27","2023","01","27","","0.4","","-2.9","","-1.3","","19.3","","0.0","","0.0","","1.2","","0.8","","9","","19","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-28","2023","01","28","","2.1","","-2.8","","-0.4","","18.4","","0.0","","0.0","","0.4","","0.4","","10","","30","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-29","2023","01","29","","0.3","","-7.5","","-3.6","","21.6","","0.0","","0.0","","8.4","","8.2","","12","","33","","47",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-30","2023","01","30","","-2.4","","-10.2","","-6.3","","24.3","","0.0","","0.0","","0.2","","0.2","","18","","29","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-01-31","2023","01","31","","-5.9","","-14.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","17","","29","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-01","2023","02","01","","-5.0","","-14.8","","-9.9","","27.9","","0.0","","0.0","","0.0","T","0.0","T","14","","25","","51",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-02","2023","02","02","","1.7","","-10.9","","-4.6","","22.6","","0.0","","0.0","","0.6","","0.6","","14","E","32","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-03","2023","02","03","","-10.8","","-21.8","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-04","2023","02","04","","-2.5","","-21.4","","-12.0","","30.0","","0.0","","0.0","","0.8","","0.4","","14","","22","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-05","2023","02","05","","4.2","","-1.9","","1.2","","16.8","","0.0","","0.0","T","0.0","","0.0","T","13","","23","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-02-06","2023","02","06","","2.3","","-3.6","","-0.7","","18.7","","0.0","","0.2","","0.0","","0.2","","7","","33","","45",""
